cat,group_label,coef
customer_C1000148617,1,0.000154461
customer_C100045114,1,-6.95E-05
customer_C1000699316,1,0.000617378
customer_C1001065306,1,-0.003679578
customer_C1002658784,1,0.000797681
customer_C1002759277,1,0.000198605
customer_C1004109477,1,0.000441992
customer_C1004300450,1,0.000286605
customer_C1004532392,1,0.000163396
customer_C1005126300,1,0.000266541
customer_C1005495267,1,0.000119748
customer_C1005806982,1,0.003554073
customer_C1006176917,1,0.000205691
customer_C1007572087,1,9.79E-05
customer_C1007790716,1,8.24E-05
customer_C1008918174,1,0.001564544
customer_C1009080922,1,0.000278991
customer_C100992504,1,0.000368067
customer_C10105795,1,0.000302111
customer_C1010589026,1,0.000362468
customer_C1010865894,1,0.000373404
customer_C1010936270,1,-0.00049653
customer_C1011693897,1,0.000343752
customer_C1012876398,1,0.00338254
customer_C1013199152,1,0.000533652
customer_C1013313546,1,0.000155084
customer_C1014010834,1,0.000187862
customer_C1014124305,1,0.000291085
customer_C1014313887,1,-0.000289898
customer_C1014347664,1,-0.002646087
customer_C1014783484,1,0.000173308
customer_C1014847580,1,0.000326446
customer_C1017469037,1,0.000479431
customer_C1017941602,1,0.000193106
customer_C1018153896,1,9.07E-05
customer_C1018388493,1,0.000188832
customer_C1018653381,1,0.000480081
customer_C1018783569,1,2.58E-05
customer_C1018979501,1,0.000573203
customer_C1019071188,1,1.67E-05
customer_C1019678929,1,0.000184637
customer_C1020019215,1,0.00191453
customer_C102010508,1,-0.000347706
customer_C1020192133,1,0.000775778
customer_C1020355960,1,0.00028798
customer_C1021409246,1,0.000166807
customer_C1021896897,1,-0.001898747
customer_C1022153336,1,0.000356377
customer_C1022530210,1,-0.000915334
customer_C102256008,1,0.000788889
customer_C1022713215,1,-0.000477725
customer_C102364766,1,0.00023934
customer_C1023694383,1,0.000354282
customer_C1023803355,1,0.000153801
customer_C1025104996,1,0.000138213
customer_C10263180,1,0.000212578
customer_C1027777422,1,0.000220472
customer_C1028143403,1,0.000227737
customer_C1028995887,1,0.00066443
customer_C1029994689,1,0.000151742
customer_C1030484150,1,-0.000318884
customer_C1030975170,1,0.000172882
customer_C1031698099,1,0.000141706
customer_C1032319289,1,-0.000957742
customer_C103240070,1,-0.00084317
customer_C1032715879,1,0.00032224
customer_C1033416330,1,0.001240168
customer_C1033736586,1,0.000154284
customer_C1033848759,1,0.000206756
customer_C1034685704,1,0.000420483
customer_C1035154937,1,0.002425426
customer_C1035222482,1,0.000246759
customer_C1035581047,1,0.000193367
customer_C1035666255,1,8.97E-05
customer_C1035681921,1,0.000192441
customer_C1036903280,1,0.001415208
customer_C1037161656,1,0.00035185
customer_C1037622786,1,-0.000248607
customer_C1038215695,1,-0.003233724
customer_C1038277619,1,-0.000596171
customer_C1038329920,1,-0.000390645
customer_C1038722314,1,7.43E-05
customer_C1038733568,1,0.000138937
customer_C1038879380,1,2.15E-05
customer_C1038996959,1,0.000219493
customer_C1039035065,1,0.000253149
customer_C1039390058,1,-0.000519776
customer_C1039748502,1,0.000439541
customer_C103995111,1,0.004025836
customer_C1040272582,1,0.000281874
customer_C1040303644,1,-0.000508924
customer_C1040405455,1,0.000405523
customer_C1040980271,1,0.000120337
customer_C1043282651,1,0.000405201
customer_C1043677034,1,0.000390659
customer_C104392148,1,0.000357277
customer_C1043944424,1,0.00066508
customer_C1045214627,1,0.000250537
customer_C1045324088,1,0.000376931
customer_C1045652139,1,-0.000392167
customer_C1045850211,1,-0.000423839
customer_C1046896257,1,-0.00079579
customer_C1047374909,1,0.000251426
customer_C1047521541,1,0.000238473
customer_C1048588440,1,4.42E-05
customer_C1048694975,1,0.000279875
customer_C1049562739,1,0.000341516
customer_C1049957303,1,0.000236463
customer_C105013970,1,0.000574226
customer_C1050458046,1,-0.000135611
customer_C1050663079,1,0.000178731
customer_C1050807234,1,0.000301865
customer_C1051356798,1,-0.000231708
customer_C1051682954,1,0.000237053
customer_C1051712338,1,-0.000504925
customer_C1051985937,1,0.001610948
customer_C1053477622,1,0.000219254
customer_C1054818236,1,0.000361902
customer_C1055164842,1,0.000133117
customer_C1055224400,1,-0.000578883
customer_C1056476734,1,0.000186683
customer_C1056640661,1,0.000229755
customer_C1057259459,1,0.000459572
customer_C1057285507,1,0.000209345
customer_C1057813963,1,0.000102053
customer_C1058213633,1,0.001220616
customer_C105845174,1,0.000767496
customer_C1058652489,1,0.000106557
customer_C1058785965,1,0.000464532
customer_C1059534096,1,0.000692108
customer_C1059874896,1,7.62E-05
customer_C1060018471,1,0.000645432
customer_C1060120913,1,0.000229252
customer_C1060270098,1,-0.000359892
customer_C1060470494,1,0.000269387
customer_C106333716,1,0.000284846
customer_C1063753312,1,0.000247227
customer_C106397937,1,0.000271409
customer_C1065812935,1,0.003819823
customer_C1066003783,1,-0.003337681
customer_C1066456457,1,0.000194026
customer_C1067134113,1,0.000437688
customer_C1067165398,1,0.000140374
customer_C1067668919,1,0.000228889
customer_C1067734462,1,0.000369087
customer_C1068772542,1,4.24E-05
customer_C106931168,1,-0.000263997
customer_C1069635670,1,0.001683802
customer_C1069648311,1,-5.85E-05
customer_C1070277785,1,-0.000330706
customer_C1070471979,1,0.000173194
customer_C107125195,1,3.52E-05
customer_C1072166767,1,0.000273313
customer_C1072577677,1,0.000211432
customer_C1073067421,1,0.000197511
customer_C1073155388,1,0.000163974
customer_C1073865173,1,1.53E-05
customer_C1074203200,1,6.78E-05
customer_C107438779,1,0.000259127
customer_C10745331,1,0.000272489
customer_C1075692577,1,0.000173901
customer_C1075787773,1,0.000173764
customer_C1076053396,1,0.000120745
customer_C1076110991,1,-0.001604537
customer_C1077245673,1,0.000362282
customer_C1078316853,1,0.000351245
customer_C1078351181,1,0.000409016
customer_C1078596280,1,0.000313015
customer_C1078619612,1,0.000311389
customer_C1079254393,1,-0.005717588
customer_C1079965849,1,0.000539855
customer_C1080032135,1,-0.002781463
customer_C1080719046,1,3.65E-05
customer_C1080813886,1,0.000898812
customer_C1081618305,1,0.00034421
customer_C1081944543,1,0.000309036
customer_C1082301057,1,0.002447671
customer_C1082462651,1,0.000255356
customer_C1082594377,1,-0.000112509
customer_C1082608644,1,0.000284585
customer_C108266856,1,0.000429611
customer_C1082732879,1,0.000357916
customer_C1082769360,1,-0.000206744
customer_C1083375349,1,0.000393401
customer_C1083859927,1,0.000216534
customer_C1084001812,1,0.000439708
customer_C1084672760,1,0.00023811
customer_C1085056650,1,0.000923666
customer_C1085689043,1,0.000211783
customer_C1086957388,1,0.000139196
customer_C1087227796,1,-0.000287036
customer_C1087747329,1,0.000215231
customer_C1087788850,1,0.000129995
customer_C1087943403,1,0.000267443
customer_C108794529,1,0.000329178
customer_C1088464518,1,0.000401909
customer_C1088768738,1,0.000298575
customer_C1088853847,1,0.001428949
customer_C108940648,1,0.000258407
customer_C1089789227,1,0.000462124
customer_C1089848865,1,0.000326602
customer_C1089903335,1,0.000261575
customer_C1090046399,1,0.000282174
customer_C1090528803,1,0.000408131
customer_C1090604904,1,0.000139585
customer_C1091680547,1,0.000991291
customer_C1091966081,1,0.000306807
customer_C1092512638,1,0.000251934
customer_C1092769857,1,-0.000582495
customer_C1093060677,1,0.000196275
customer_C1093826151,1,0.000242052
customer_C1093842718,1,0.000257697
customer_C1095087737,1,0.000836233
customer_C1095241409,1,0.000139392
customer_C1095604325,1,0.000286745
customer_C1095821033,1,0.000250933
customer_C109617474,1,0.000329755
customer_C109634232,1,0.00035009
customer_C1096642744,1,0.001312989
customer_C1097812196,1,0.000155631
customer_C1098012335,1,0.000349269
customer_C1098443227,1,0.000266358
customer_C109947606,1,0.000278133
customer_C1100053869,1,0.000208184
customer_C1100276718,1,0.000368
customer_C1100289413,1,-0.00049407
customer_C1100337763,1,0.001622407
customer_C1100361227,1,-0.000156335
customer_C1100510913,1,0.000151252
customer_C1100570635,1,-0.001081473
customer_C1101213728,1,0.000164258
customer_C1101433185,1,-0.001009917
customer_C1101633489,1,6.60E-05
customer_C1101722853,1,0.000297024
customer_C1102156492,1,0.000263679
customer_C1102464953,1,0.000329023
customer_C1104044396,1,0.000948717
customer_C1104967901,1,0.00025767
customer_C1105086283,1,0.000243067
customer_C1107442215,1,-0.00128243
customer_C1107580024,1,0.000430444
customer_C1108226372,1,0.000231538
customer_C1108787528,1,-0.000130621
customer_C1108967401,1,0.000195812
customer_C1110919755,1,0.000806587
customer_C11116138,1,0.000310068
customer_C111217068,1,0.00055828
customer_C1112424232,1,-0.000938614
customer_C1113166893,1,0.000302654
customer_C1114643543,1,6.69E-05
customer_C1114685649,1,0.0007584
customer_C1116417172,1,0.000455955
customer_C111678629,1,7.70E-05
customer_C1117259261,1,0.000710965
customer_C1117294574,1,0.000213843
customer_C1117403153,1,-0.000705613
customer_C1118932469,1,0.000341512
customer_C1118984324,1,0.000349158
customer_C1120165888,1,2.72E-05
customer_C1121327223,1,0.000382653
customer_C1122213892,1,0.000180461
customer_C1122303126,1,0.001803898
customer_C1122835446,1,-0.000864724
customer_C1123042802,1,0.00020983
customer_C1123627503,1,0.000295334
customer_C1124449361,1,-0.000924824
customer_C1124718683,1,-0.000900267
customer_C1125132707,1,-0.000379243
customer_C1125717761,1,-0.000151628
customer_C1125832994,1,0.000283723
customer_C1126112663,1,0.000173655
customer_C1126297464,1,0.00027014
customer_C1127069069,1,-0.001297452
customer_C1127607634,1,0.000377496
customer_C1127983201,1,0.000241363
customer_C1128349548,1,0.000434864
customer_C1128965136,1,0.000272038
customer_C1129111658,1,0.00095093
customer_C1129265408,1,0.000377862
customer_C1129461636,1,9.85E-05
customer_C1129737137,1,0.000208295
customer_C1130259702,1,0.000105265
customer_C1130847219,1,0.000189906
customer_C1131883667,1,-0.000940678
customer_C1132392725,1,0.001966319
customer_C1132565589,1,0.000493299
customer_C113294083,1,0.000367638
customer_C1133298590,1,0.000160452
customer_C1133386558,1,0.000419318
customer_C1133451243,1,0.000233734
customer_C1134229140,1,0.00093398
customer_C1134333439,1,-0.000311983
customer_C1134533551,1,0.00015392
customer_C1134994937,1,0.00017256
customer_C1135201785,1,0.000198866
customer_C1135495199,1,0.000231579
customer_C1135867657,1,0.000169051
customer_C1136643517,1,-0.000414491
customer_C1136761152,1,-0.00100325
customer_C1136859577,1,0.00014534
customer_C1137292670,1,0.00026428
customer_C1139909458,1,0.000322028
customer_C1139944236,1,0.000282138
customer_C1140073765,1,0.000215388
customer_C1140809068,1,0.000421789
customer_C1141481813,1,0.00020442
customer_C1141524074,1,0.000176344
customer_C1141582476,1,0.000312363
customer_C1142118359,1,-0.002056771
customer_C1142956269,1,0.000191
customer_C1143297842,1,0.000298359
customer_C1143300850,1,0.000277577
customer_C1143401925,1,-0.002369197
customer_C114388565,1,0.00022419
customer_C1145304322,1,0.000210185
customer_C11453786,1,-0.000455077
customer_C1146143839,1,0.000288456
customer_C1147125608,1,0.000258563
customer_C1147973334,1,-0.00039771
customer_C1148364854,1,0.000817497
customer_C1148635270,1,0.001516469
customer_C1148771999,1,0.000222555
customer_C1148772789,1,-0.000930023
customer_C1149179033,1,9.51E-05
customer_C1149495561,1,0.000468291
customer_C114981535,1,0.000190374
customer_C1149893807,1,-4.94E-05
customer_C1150646122,1,0.000197342
customer_C1151051721,1,0.000107934
customer_C1151600429,1,-0.000871247
customer_C1151799720,1,0.000240099
customer_C1152092987,1,-0.000194413
customer_C1152356495,1,0.000401443
customer_C1152835627,1,1.00E-04
customer_C1153569753,1,-0.00048357
customer_C1153792315,1,0.002283679
customer_C1153943594,1,0.000170725
customer_C1154612561,1,0.00017326
customer_C1154631581,1,-0.000271707
customer_C1155259690,1,0.001775908
customer_C115540448,1,-4.57E-06
customer_C1155962240,1,0.00023781
customer_C115603187,1,-0.000600822
customer_C1156188729,1,0.000438346
customer_C1156346576,1,0.000418647
customer_C1156399058,1,-0.000803804
customer_C1156509589,1,0.000254287
customer_C1156672988,1,9.59E-05
customer_C1156745710,1,0.000455718
customer_C1156808163,1,-0.000961385
customer_C1156885344,1,0.000141906
customer_C1158029630,1,-4.26E-05
customer_C1158233054,1,0.000250158
customer_C1158646143,1,0.000194693
customer_C1158738757,1,0.000132546
customer_C1158752013,1,0.000241465
customer_C1158875335,1,-0.000240813
customer_C1159034982,1,0.000184375
customer_C1159279360,1,0.000361093
customer_C1159406873,1,-0.000127212
customer_C115986226,1,0.000962903
customer_C1160118068,1,-4.30E-05
customer_C1160421902,1,-0.001165653
customer_C1161671147,1,0.0003942
customer_C1161927918,1,0.000363299
customer_C1161949399,1,0.000325236
customer_C1163388474,1,-0.004707111
customer_C1163635747,1,-0.002088556
customer_C1163804561,1,0.000753019
customer_C116386695,1,0.000337426
customer_C1164613439,1,0.00023542
customer_C1165343027,1,-0.000542238
customer_C1165454845,1,0.00017155
customer_C1166075201,1,0.000146295
customer_C1166337448,1,0.00013505
customer_C1166355595,1,0.000283753
customer_C116665031,1,0.000286297
customer_C1166683343,1,0.00036632
customer_C11668910,1,0.000685748
customer_C1167781928,1,0.000145087
customer_C1169655012,1,0.000236921
customer_C1169771418,1,0.000230537
customer_C1170049298,1,0.000427192
customer_C117112395,1,-0.001633691
customer_C1171394321,1,0.000764069
customer_C1171622243,1,-0.001495376
customer_C1173530601,1,-0.000893152
customer_C1174105749,1,0.000177265
customer_C1174217921,1,0.00069109
customer_C1174416804,1,0.000419602
customer_C1174735331,1,-0.001020724
customer_C1175419672,1,-9.57E-05
customer_C1175684338,1,-0.000369582
customer_C117577408,1,0.000132133
customer_C1175850429,1,-0.018474888
customer_C1176114065,1,0.000285849
customer_C1177396126,1,0.000188025
customer_C1177478758,1,0.000256393
customer_C1177926954,1,0.000137542
customer_C1178005728,1,0.000422401
customer_C1178726445,1,0.00052264
customer_C1179217322,1,-0.000239969
customer_C1179833140,1,0.000263867
customer_C1180570487,1,0.00029617
customer_C1180936672,1,-0.00147127
customer_C1181615831,1,-0.000422827
customer_C1182534509,1,0.000295642
customer_C1182825160,1,-0.000987242
customer_C118437987,1,0.00024639
customer_C1186894186,1,-0.00057706
customer_C1186953291,1,0.000105995
customer_C1187353931,1,0.001220719
customer_C1187702596,1,0.000127307
customer_C1187730955,1,0.000202893
customer_C1187799344,1,0.000189962
customer_C1187979419,1,0.000290863
customer_C118836015,1,0.000275624
customer_C1188590334,1,9.13E-05
customer_C1189224644,1,-0.000271513
customer_C1189231170,1,2.99E-05
customer_C1189367947,1,0.000214538
customer_C1189752912,1,0.000301665
customer_C1190687128,1,-0.001576843
customer_C1191069340,1,0.000869463
customer_C1191796691,1,0.000418022
customer_C1191832390,1,0.000343067
customer_C1192557067,1,0.001459967
customer_C119274188,1,0.000695991
customer_C1192754222,1,0.000473001
customer_C1192874833,1,0.000273371
customer_C1193034305,1,3.53E-05
customer_C1193582671,1,0.000229315
customer_C1194290880,1,0.002188294
customer_C1194320883,1,0.000409797
customer_C119537158,1,-0.000552873
customer_C1195893546,1,-0.000862684
customer_C1196149230,1,0.000230127
customer_C1196357413,1,0.000396644
customer_C1196579721,1,0.000286968
customer_C1196611038,1,0.001729096
customer_C1196808546,1,0.00042901
customer_C1196915447,1,0.000191214
customer_C1197304790,1,0.00018412
customer_C1199767081,1,0.001726404
customer_C1199849921,1,0.000160383
customer_C1200227736,1,0.000182385
customer_C1200311106,1,0.000222545
customer_C1200336063,1,0.000227077
customer_C1200798307,1,0.000272653
customer_C1201696181,1,0.000136885
customer_C1201848792,1,-0.000467414
customer_C1202775726,1,0.000387226
customer_C120279480,1,0.000655355
customer_C1202857292,1,0.000408055
customer_C1203244235,1,-0.002067897
customer_C1204046804,1,0.000335154
customer_C1204610604,1,-0.000539722
customer_C1204740969,1,8.94E-05
customer_C1204780618,1,4.02E-05
customer_C1204835011,1,-0.001908654
customer_C1205257074,1,-0.000564266
customer_C1206604144,1,0.000326625
customer_C120661238,1,0.000328506
customer_C1207205377,1,0.000131123
customer_C1207877529,1,8.70E-05
customer_C1207935724,1,0.000147014
customer_C1208123566,1,0.000586296
customer_C1208164294,1,0.002334112
customer_C1209363182,1,0.000295723
customer_C1209651258,1,6.72E-05
customer_C1209743372,1,0.000351609
